id,style_id,style_name,ai_prompt_keywords,css_keywords
pm37,st37,isometric,"Isometric illustrations conveying technical/product concepts, Dev tools",isometric SVG illustration;consistent 30deg angles
pm38,st38,hand-drawn,"Hand-sketched icon/illustration style for a human, approachable feel, Education",sketch-style SVGs;imperfect hand-drawn borders
pm39,st39,collage,"Cut-paper, mixed-media layered compositions, Music",layered image cutouts;mixed typography;paper-texture bg
pm40,st40,grain-texture,"Subtle film-grain/noise texture overlay for warmth and depth, Photography",SVG noise overlay at low opacity;warm color grading
pm41,st41,split-screen,"Two-panel layout contrasting content, image, or before/after, Landing pages",50/50 or 60/40 grid split;contrasting bg colors
pm42,st42,asymmetric-grid,"Off-balance grid creating dynamic tension and visual interest, Creative portfolios",uneven column spans;overlapping grid items
pm43,st43,data-dense,"Compact, information-dense layout optimized for scanning data, Analytics dashboards",8px base spacing;monospace numerals;sticky table headers
pm44,st44,dashboard-minimal,"Clean card-based dashboard with generous spacing around KPIs, Executive dashboards",KPI stat cards;soft dividers;single accent for alerts
pm45,st45,warm-neutral,"Warm beige/terracotta neutral palette for an approachable feel, Wellness",warm off-white bg;terracotta/olive accents;serif body option
pm46,st46,cool-neutral,"Cool slate/gray neutral palette for a calm, professional feel, B2B SaaS",cool gray scale;single blue/teal accent;crisp sans-serif
pm47,st47,pastel-soft,"Muted pastel palette across the whole UI for a gentle tone, Wellness",desaturated pastel fills;soft rounded corners
pm48,st48,bold-primary,"Saturated primary-color blocks for high energy and clarity, Sports",fully saturated color blocks;strong color contrast;bold sans
pm49,st49,nature-organic,"Green, earth-toned palette with organic textures and imagery, Sustainability",forest/moss green palette;organic photography;leaf motifs
pm50,st50,tech-futuristic,"Sleek dark UI with glowing gradient accents evoking AI/frontier tech, AI products",dark bg with glow accents;gradient text;monospace code UI
