id,category,priority,title,guideline,do,dont
ux028,layout,4,z-index-management,Define a consistent z-index scale,Use a scale like 10/20/30/50 for dropdown/modal/toast/tooltip layers,Ad-hoc z-index: 9999 sprinkled wherever something doesn't show
ux029,layout,4,responsive-breakpoints,Test at standard breakpoints,"Verify layout at 375, 768, 1024, 1440px widths",Designing only for one desktop width and hoping it reflows
ux030,layout,4,safe-area-insets,Respect device safe areas on mobile,Use env(safe-area-inset-*) for notches/home indicators,Content hidden behind the iPhone notch or home indicator bar
ux031,layout,4,empty-states,Every list/table needs a designed empty state,Show a helpful message + primary action when there's no data,Rendering a blank white area when a list has zero items
ux032,layout,4,floating-nav-spacing,Floating navbars need edge spacing,Add top-4/left-4/right-4 spacing instead of sticking to viewport edges,Sticking a floating-style navbar flush to top-0 left-0 right-0
ux033,layout,4,content-under-fixed-nav,Content must not hide behind fixed headers,Add top padding/margin to main content equal to navbar height,Fixed navbar overlapping the first block of page content
ux034,typography,5,line-height,Body text needs comfortable line-height,Use 1.5-1.75 line-height for paragraph text,Tight 1.1-1.2 line-height on multi-line body copy
ux035,typography,5,line-length,Limit line length for readability,Keep body text to 65-75 characters per line (max-w-prose),Full-bleed paragraph text stretching 150+ characters wide
ux036,typography,5,font-pairing,Pair fonts with complementary personalities,"Match a distinct heading font with a neutral, legible body font",Using two competing display fonts for both heading and body
ux037,typography,5,type-scale,Use a consistent modular type scale,Define a fixed scale (e.g. 12/14/16/20/24/32/48px),Ad-hoc font sizes chosen per-component with no system
ux038,color,5,color-not-only-indicator,Don't rely on color alone to convey meaning,Pair color with icons/text for status (success/error/warning),Red/green-only indicators that are invisible to colorblind users
ux039,color,5,dark-mode-glass-contrast,Glass/transparent surfaces need enough opacity in light mode,Use bg-white/80+ (not bg-white/10) for glass cards in light mode,Using near-transparent white panels that vanish on light backgrounds
ux040,color,5,border-visibility,Borders must be visible in both themes,"Use border-gray-200 in light mode, border-white/10 only in dark mode",Using border-white/10 in light mode where it's effectively invisible
ux041,animation,6,duration-timing,"Micro-interactions should be fast, not sluggish",Use 150-300ms for hover/tap/toggle transitions,500ms+ transitions on simple hover states feel laggy
ux042,animation,6,transform-performance,"Animate cheap properties, not layout-triggering ones",Animate transform and opacity for smooth 60fps motion,"Animating width/height/top/left, forcing layout recalculation"
ux043,animation,6,loading-states,Async content needs a loading state,Use skeleton screens or spinners while data loads,Blank screen with no feedback while a request is pending
ux044,animation,6,easing-curves,"Use natural easing, not linear","Use ease-out for entrances, ease-in for exits","Linear easing on every transition, which feels robotic"
ux045,animation,6,purposeful-motion,"Animation should communicate, not decorate",Use motion to show relationship/continuity (e.g. shared element transitions),Adding animation to every element with no functional purpose
ux046,style,7,style-match,Match visual style to product type and audience,Pick a style whose personality matches the product's context (e.g. corporate-clean for B2B finance),Applying a playful/brutalist style to a serious medical or legal product
ux047,style,7,consistency,Keep style consistent across all pages,"Reuse the same spacing scale, radius, and color tokens sitewide",Mixing glassmorphism on the homepage with flat design on the dashboard
ux048,style,7,no-emoji-icons,"Use real icons, not emoji, for UI iconography","Use an SVG icon set (Heroicons, Lucide) sized consistently",Using emoji like ⚙️ 🚀 🎨 as functional UI icons
ux049,style,7,icon-consistency,Icons should share one visual system,Use one icon library with a fixed viewBox (e.g. 24x24) throughout,Mixing icon sets with different stroke widths and grids
ux050,style,7,brand-logo-accuracy,Third-party brand logos must be accurate,Source official SVGs (e.g. from Simple Icons) for brand marks,Guessing or hand-drawing an approximation of a brand's logo
ux051,chart,8,chart-type-match,Choose chart type based on the data relationship,"Match trend->line, comparison->bar, composition->stacked/pie",Using a pie chart for a time-series trend
ux052,chart,8,chart-color-guidance,"Use accessible, distinguishable chart colors",Use a colorblind-safe categorical palette with sufficient contrast,Red/green as the only distinguishing colors between two series
ux053,chart,8,chart-data-table,Provide a non-visual alternative to charts,Offer a toggle to a data table for screen-reader/keyboard users,Charts with no way to access the underlying data non-visually
ux054,interaction,2,disabled-state-clarity,Disabled controls need a visibly distinct state,"Reduce opacity and remove pointer affordance, add a tooltip if useful",A disabled button that looks identical to an enabled one
ux055,interaction,2,undo-over-confirm,Prefer undo for low-risk reversible actions,Use a toast with 'Undo' instead of a blocking confirm dialog,Interrupting every minor action with a confirmation modal
ux056,forms,1,inline-validation-timing,"Validate on blur/submit, not on every keystroke",Show validation errors after the user leaves the field or submits,Flashing 'required' errors while the user is still typing
ux057,forms,4,input-grouping,Group related fields visually,Use fieldset/legend or spacing to cluster related inputs,A flat list of 20 unlabeled-grouped inputs in one long form
ux058,navigation,4,active-state-indication,Current page/section must be visually indicated,Highlight the active nav item with color/underline + aria-current,Navigation with no indication of which page is currently active
ux059,navigation,2,breadcrumb-for-depth,Deep hierarchies need breadcrumbs,Show breadcrumbs for content nested 3+ levels deep,No wayfinding in a deeply nested admin/docs hierarchy
ux060,feedback,2,toast-timing,Toasts should stay long enough to read,"Keep toasts visible 4-6s, longer for multi-line messages",Toasts that auto-dismiss in under 2 seconds
